title,boxoffice,dates,budget,genre
Rocketman  ,95021675,5/31/19,40000000.0,Gay/Lesbian
Bohemian Rhapsody,216428042,11/2/18,52000000.0,Gay/Lesbian
"Love, Simon",40826341,3/16/18,17000000.0,Gay/Lesbian
Moonlight (2016),27854932,10/21/16,4000000.0,Gay/Lesbian
Dallas Buyers Club,27298285,11/1/13,5000000.0,Gay/Lesbian
Circumstance,454121,8/26/11,1000000,Gay/Lesbian
Beginners,5790894,6/3/11,3200000.0,Gay/Lesbian
"I Love You, Phillip Morris",2037459,12/3/10,13000000.0,Gay/Lesbian
The Kids Are All Right,20811365,7/9/10,4000000.0,Gay/Lesbian
A Single Man,9176000,12/11/09,7000000.0,Gay/Lesbian
Milk,31841299,11/26/08,20000000.0,Gay/Lesbian
The Last Mistress,785671,6/27/08,6000000.0,Gay/Lesbian
FAQs,1967,2/3/06,250000,Gay/Lesbian
That Man: Peter Berlin,55398,1/13/06,65000,Gay/Lesbian
Brokeback Mountain,83043761,12/9/05,14000000.0,Gay/Lesbian
Rent,29077547,11/23/05,40000000.0,Gay/Lesbian
Capote,28750530,9/30/05,7000000.0,Gay/Lesbian
Alexander,34297191,11/24/04,155000000.0,Gay/Lesbian
Bad Education,5211842,11/19/04,5000000.0,Gay/Lesbian
Kinsey,10254979,11/12/04,11000000.0,Gay/Lesbian
Tarnation,592014,10/6/04,220,Gay/Lesbian
A Home at the End of the World,1029872,7/23/04,6500000.0,Gay/Lesbian
The Dreamers,2532228,2/6/04,15000000.0,Gay/Lesbian
Monster,34469210,12/24/03,8000000.0,Gay/Lesbian
Boat Trip,8600126,3/21/03,20000000.0,Gay/Lesbian
The Hours,41675994,12/27/02,25000000.0,Gay/Lesbian
Far From Heaven,15901849,11/8/02,13500000.0,Gay/Lesbian
Frida,25885000,10/25/02,12000000.0,Gay/Lesbian
The Rules of Attraction,6532619,10/11/02,4000000.0,Gay/Lesbian
Kissing Jessica Stein,7025722,3/13/02,1000000,Gay/Lesbian
The Deep End,8823109,8/10/01,3000000.0,Gay/Lesbian
The Next Best Thing,14990582,3/3/00,25000000.0,Gay/Lesbian
The Talented Mr. Ripley,81298265,12/25/99,40000000.0,Gay/Lesbian
Boys Don't Cry,11540607,10/8/99,2000000.0,Gay/Lesbian
"Happy, Texas",1955933,10/1/99,2500000.0,Gay/Lesbian
Gods and Monsters,6451628,11/6/98,10000000.0,Gay/Lesbian
Midnight in the Garden of Good & Evil,25105255,11/21/97,35000000.0,Gay/Lesbian
In & Out,63856929,9/19/97,35000000.0,Gay/Lesbian
